name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
Wildfire,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Winter Soldier,Male,brown,Human,Brown,175.0,Marvel Comics,-,good,117.0
Wiz Kid,-,brown,-,Black,140.0,Marvel Comics,-,good,39.0
Wolfsbane,Female,green,-,Auburn,366.0,Marvel Comics,-,good,473.0
Wolverine,Male,blue,Mutant,Black,160.0,Marvel Comics,-,good,135.0
Wonder Girl,Female,blue,Demi-God,Blond,165.0,DC Comics,-,good,51.0
Wonder Man,Male,red,-,Black,188.0,Marvel Comics,-,good,171.0
Wonder Woman,Female,blue,Amazon,Black,183.0,DC Comics,-,good,74.0
Wondra,Female,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Wyatt Wingfoot,Male,brown,-,Black,196.0,Marvel Comics,-,good,117.0
X-23,Female,green,Mutant / Clone,Black,155.0,Marvel Comics,-,good,50.0
X-Man,Male,blue,-,Brown,175.0,Marvel Comics,-,good,61.0
Yellow Claw,Male,blue,-,No Hair,188.0,Marvel Comics,-,bad,95.0
Yellowjacket,Male,blue,Human,Blond,183.0,Marvel Comics,-,good,83.0
Yellowjacket II,Female,blue,Human,Strawberry Blond,165.0,Marvel Comics,-,good,52.0
Ymir,Male,white,Frost Giant,No Hair,304.8,Marvel Comics,white,good,-99.0
Yoda,Male,brown,Yoda's species,White,66.0,George Lucas,green,good,17.0
Zatanna,Female,blue,Human,Black,170.0,DC Comics,-,good,57.0
Zoom,Male,red,-,Brown,185.0,DC Comics,-,bad,81.0
